2023-07-04 05:54:42 install procps:arm64 <none> 2:4.0.2-3
2023-07-04 05:54:42 status half-installed procps:arm64 2:4.0.2-3
2023-07-04 05:54:42 status unpacked procps:arm64 2:4.0.2-3
2023-07-04 05:54:42 install sensible-utils:all <none> 0.0.17+nmu1
2023-07-04 05:54:42 status half-installed sensible-utils:all 0.0.17+nmu1
2023-07-04 05:54:42 status unpacked sensible-utils:all 0.0.17+nmu1
2023-07-04 05:54:42 install libbsd0:arm64 <none> 0.11.7-2
2023-07-04 05:54:42 status half-installed libbsd0:arm64 0.11.7-2
2023-07-04 05:54:42 status unpacked libbsd0:arm64 0.11.7-2
2023-07-04 05:54:42 install libedit2:arm64 <none> 3.1-20221030-2
2023-07-04 05:54:42 status half-installed libedit2:arm64 3.1-20221030-2
2023-07-04 05:54:42 status unpacked libedit2:arm64 3.1-20221030-2
2023-07-04 05:54:42 install libcbor0.8:arm64 <none> 0.8.0-2+b1
2023-07-04 05:54:42 status half-installed libcbor0.8:arm64 0.8.0-2+b1
2023-07-04 05:54:42 status unpacked libcbor0.8:arm64 0.8.0-2+b1
2023-07-04 05:54:42 install libfido2-1:arm64 <none> 1.12.0-2+b1
